ID	batch1_1	batch1_2	batch2_1	batch2_2	batch3_1	batch3_2	quimiostato1_1	quimiostato1_2	quimiostato2_1	quimiostato2_2	quimiostato3_1	quimiostato3_2	chromosome_name	start_position	end_position	description	external_gene_name
snR18	5.77021860431588	5.64724972687286	5.32130139703631	5.52893679447224	5.78649557259426	5.8802791589553	4.37896881348506	4.19659222439725	5.39586398425046	5.28995326382326	5.19808223079127	5.01590330284701	I	142367	142468	C/D box small nucleolar RNA (snoRNA); commonly referred to as U18; guides 2'-O-methylation of large subunit (LSU) rRNA at positions A649 and C650 [Source:SGD;Acc:S000007500]	
YAL001C	8.53942892676621	8.55420027244349	8.67234979837141	8.66805682308222	8.66671099342036	8.64732320684142	8.57847424036574	8.58820642066616	8.75508276290997	8.76547220183495	8.71102209552167	8.71998949553711	I	147594	151166	Subunit of RNA polymerase III transcription initiation factor complex; part of the TauB domain of TFIIIC that binds DNA at the BoxB promoter sites of tRNA and similar genes; cooperates with Tfc6p in DNA binding; largest of six subunits of the RNA polymerase III transcription initiation factor complex (TFIIIC) [Source:SGD;Acc:S000000001]	TFC3
YAL002W	7.74359200691856	7.75163947309517	7.8996229641015	7.90279494471437	7.83683181134761	7.8144711337206	7.89892849705028	7.8993464934719	7.91466410438871	7.90249651988892	8.0445639379248	8.04931514859123	I	143707	147531	Membrane-binding component of the CORVET complex; involved in endosomal vesicle tethering and fusion in the endosome to vacuole protein targeting pathway; interacts with Vps21p; contains RING finger motif [Source:SGD;Acc:S000000002]	VPS8
YAL003W	11.6432913227269	11.6603333644313	11.6751116207185	11.669096471543	11.9336145846735	11.9064055173956	10.9039194327418	10.8968629162453	10.8389526280972	10.830819261969	10.8994722722516	10.9164749858591	I	142174	143160	Translation elongation factor 1 beta; stimulates nucleotide exchange to regenerate EF-1 alpha-GTP for the next elongation cycle; part of the EF-1 complex, which facilitates binding of aminoacyl-tRNA to the ribosomal A site; human homolog EEF1B2 can complement yeast efb1 mutants [Source:SGD;Acc:S000000003]	EFB1
YAL005C	11.1294865767727	11.1551120196377	11.1403917267054	11.1393535082042	11.2089681026794	11.1973595567412	12.8324034577269	12.8328231550081	13.0114908765459	13.0205883730234	12.989296453896	12.9827916411576	I	139503	141431	ATPase involved in protein folding and NLS-directed nuclear transport; member of HSP70 family; required for ubiquitin-dependent degradation of short-lived proteins; forms chaperone complex with Ydj1p; localized to nucleus, cytoplasm, cell wall; 98% identical to paralog Ssa2p with different functional specificity in propagation of yeast [URE3] prions, vacuolar-mediated degradations of gluconeogenesis enzymes; general targeting factor of Hsp104p to prion fibrils [Source:SGD;Acc:S000000004]	SSA1
YAL007C	8.96881389823555	8.99214058848191	9.07612058292946	9.07041236661799	8.95522198689007	8.90782662939034	7.81417918174166	7.81459707177377	7.5831716815417	7.5740797718094	7.76154478471196	7.76732370576875	I	137698	138345	Member of the p24 family involved in ER to Golgi transport; similar to Emp24p and Erv25p; role in misfolded protein quality control; forms a heterotrimeric complex with Erp1p, Emp24p, and Erv25p; localized to COPII-coated vesicles; ERP2 has a paralog, ERP4, that arose from the whole genome duplication [Source:SGD;Acc:S000000005]	ERP2
YAL008W	6.93125888869427	6.89825140941542	6.51474871792957	6.53762276290685	6.41862822767761	6.38484362617644	8.07482069009471	8.08184744304866	8.27520395146486	8.29185501855539	8.36349247746263	8.35967226578874	I	136914	137510	Integral mitochondrial outer membrane (MOM) protein; dosage suppressor of an MDM10 null that reduces ERMES-related phenotypes, such as alterations in mitochondrial morphology, protein complex assembly, and lipid profile; dosage suppressor of MDM12, MDM34, and MMM1 null mutant growth defects; novel mechanism of MOM import involving Tom70p, the TOM complex, and the TIM23 complex, requiring mitochondrial membrane potential and processing by the IMP complex for correct biogenesis [Source:SGD;Acc:S000000006]	FUN14
YAL009W	7.31065105971204	7.32536918865009	7.01839685567886	7.01687161327302	7.0926552440095	7.08860750394528	7.27147322846444	7.28340355864655	7.2749527744661	7.28179877736883	7.21133239711824	7.21133239711824	I	135854	136633	Putative regulatory subunit of Nem1p-Spo7p phosphatase holoenzyme; regulates nuclear growth by controlling phospholipid biosynthesis, required for normal nuclear envelope morphology, premeiotic replication, and sporulation [Source:SGD;Acc:S000000007]	SPO7
YAL010C	6.61812345658944	6.63278439464069	6.75237931874905	6.72983843306791	6.72983169669248	6.72906271849573	7.23637165163654	7.22489568741308	7.09758254299747	7.10442273934235	7.21978662965146	7.21978662965146	I	134184	135665	Subunit of both the ERMES and the SAM complex; component of ERMES complex which acts as a molecular tether between the mitochondria and the ER, necessary for efficient phospholipid exchange between organelles and for mitophagy; SAM/TOB complex component that functions in the assembly of outer membrane beta-barrel proteins; involved in mitochondrial inheritance and morphology; ERMES complex is often co-localized with peroxisomes and concentrated areas of pyruvate dehydrogenase [Source:SGD;Acc:S000000008]	MDM10
YAL011W	7.24611406515215	7.25136746950537	7.47558049076988	7.48663645677832	7.40094811771734	7.37618562577962	7.44549236687718	7.46625727204293	7.3232244692198	7.33007193266356	7.51594768269476	7.51594768269476	I	132199	134076	Protein of unknown function; component of the SWR1 complex, which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A; required for formation of nuclear-associated array of smooth endoplasmic reticulum known as karmellae [Source:SGD;Acc:S000000009]	SWC3
YAL012W	10.6468702932494	10.6607790179681	10.7632670724309	10.7584914367792	10.8885128146992	10.8663334365486	9.22321401088941	9.21464068660272	9.21520318785854	9.21952151693484	9.50311396742301	9.49442978874105	I	130799	131983	Cystathionine gamma-lyase; catalyzes one of the two reactions involved in the transsulfuration pathway that yields cysteine from homocysteine with the intermediary formation of cystathionine; protein abundance increases in response to DNA replication stress [Source:SGD;Acc:S000000010]	CYS3
YAL013W	8.02211824597238	8.03135545524037	7.8996229641015	7.88389168441943	8.02268720802233	7.99509788070377	8.09455620512128	8.09497442452099	8.05848447971893	8.06534908256933	8.03021569560964	8.03021569560964	I	129270	130487	Component of the Rpd3L histone deacetylase complex; required for diauxic shift-induced histone H2B deposition onto rDNA genes; transcriptional modulator involved in regulation of structural phospholipid biosynthesis genes and metabolically unrelated genes, as well as maintenance of telomeres, mating efficiency, and sporulation [Source:SGD;Acc:S000000011]	DEP1
YAL014C	7.49650899808155	7.51123834691954	7.31532593404859	7.32084345909408	7.40094811771734	7.41295996759918	7.08674568457475	7.06064332251651	7.18377212096644	7.18011860262639	7.15072356142352	7.15953942338722	I	128252	129019	Endosomal SNARE related to mammalian syntaxin 8 [Source:SGD;Acc:S000000012]	SYN8
YAL015C	7.31065105971204	7.30722156831564	7.11081057723554	7.11739949621601	7.22397691086373	7.198010825915	7.38266909198013	7.39374871782274	7.45904488824208	7.48307704795571	7.58301564635142	7.59606305237742	I	126903	128102	DNA N-glycosylase and apurinic/apyrimidinic (AP) lyase; involved in base excision repair; acts in both nucleus and mitochondrion; creates a double-strand break at mtDNA origins that stimulates replication in response to oxidative stress; required for maintaining mitochondrial genome integrity; NTG1 has a paralog, NTG2, that arose from the whole genome duplication [Source:SGD;Acc:S000000013]	NTG1
YAL016C-B	2.3128566556619	2.32469892738313	1.35575215597191	0.830922420138566	1.66350208907563	1.0512226389838	2.57328923761084	2.57363847347758	3.06652475375109	3.07259438455056	2.16473972939681	2.42083785304821	I	124307	124492	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data [Source:SGD;Acc:S000028528]	
YAL016W	8.86212016479689	8.9043222823965	8.80903034007223	8.79490287427668	9.03489453966302	9.04006993617858	9.42894444366314	9.43195227758419	9.55141247787847	9.56637668133168	9.60182421309094	9.60505479838275	I	124879	126786	Regulatory subunit A of the heterotrimeric PP2A complex; the heterotrimeric protein phosphatase 2A (PP2A) complex also contains regulatory subunit Cdc55p and either catalytic subunit Pph21p or Pph22p; required for cell morphogenesis and transcription by RNA polymerase III [Source:SGD;Acc:S000000014]	TPD3
YAL017W	8.26015165834694	8.27023802147803	8.36296832813496	8.37164888784904	8.40130626660796	8.37649945557378	8.92925672157851	8.91124108015789	9.1118157232091	9.14051409401631	9.15636209438431	9.14974065332571	I	120225	124295	PAS domain-containing serine/threonine protein kinase; coordinately regulates protein synthesis and carbohydrate metabolism and storage in response to a unknown metabolite that reflects nutritional status; PSK1 has a paralog, PSK2, that arose from the whole genome duplication [Source:SGD;Acc:S000000015]	PSK1
YAL018C	2.57551184420301	2.58784866916385	0.831595612916882	0.830922420138566	2.41567525519323	2.40303349124428	3.60184010371449	3.60222529041496	3.87785466104782	3.98419715715756	4.61565308457866	4.61565308457866	I	118564	119541	Protein Involved in spore wall assembly; localizes to lipid droplets found on or outside of the prospore membrane; shares similarity with Lds2p and Rrt8p, and a strain mutant for all 3 genes exhibits reduced dityrosine fluorescence relative to the single mutants [Source:SGD;Acc:S000000016]	LDS1
YAL019W	8.70977794645756	8.72113091785184	9.08028251053122	9.0808247124887	9.18751683294943	9.16120260562396	7.95037798072494	7.94355748771081	7.98836570851424	7.99522902718493	8.21493931071852	8.20219637889555	I	114919	118314	Snf2p family member with ATP-dependent chromatin remodeling activity; has a role in silencing at the mating type locus, telomeres and centromeres; enriched at centromeres and is required for correct chromatin structure around centromeres, as well as at the boundary element of the silent HMR; recruited to DNA double-strand breaks (DSBs) where it promotes 5' strand resection of DSBs; potential Cdc28p substrate [Source:SGD;Acc:S000000017]	FUN30
YAL020C	5.84682917300701	5.98068773462451	5.50589715077375	5.55306915302438	5.78649557259426	5.90630598235358	5.62288846830537	5.54893203892905	5.28323940668379	5.12463037320809	5.35981407367325	5.35981407367325	I	113614	114615	Protein required for modification of wobble nucleosides in tRNA; acts with Elongator complex, Kti11p, and Kti12p; has a potential role in regulatory interactions between microtubules and the cell cycle; forms a stable heterodimer with Kti11p [Source:SGD;Acc:S000000018]	ATS1
